review,sentiment,language
"Kurang bagus. Ceritanya tidak jelas dan endingnya payah.",negative,id
"Percuma menontonnya, tidak ada yang menarik sama sekali.",negative,id
"Jelek dan lambat. Saya menyesal sudah membeli tiketnya.",negative,id
"Buruk, aktingnya kaku dan ceritanya membosankan.",negative,id
"Mengecewakan sekali. Terlalu panjang dan tidak fokus.",negative,id
"Sangat payah. Humornya tidak lucu dan alurnya susah diikuti.",negative,id
"Tidak berkualitas. Banyak adegan yang terasa dipaksakan.",negative,id
"Kurang menarik dan terlalu mahal untuk kualitas seperti ini.",negative,id
"Parah banget, ceritanya kacau dan aktingnya buruk.",negative,id
"A quietly brilliant film that rewards patience with a genuinely beautiful final act.",positive,en
"Consistently engaging, with excellent performances and a satisfying, well-built story.",positive,en
"Wonderful direction and a superb script. One of the best things I have seen.",positive,en
"Confusing, dull and badly paced. The premise is wasted entirely.",negative,en
"Weak and disappointing. Poor dialogue and a plot that makes no sense.",negative,en
"Terrible. Annoying characters and an ending that is simply awful.",negative,en
"Sangat bagus dan menyentuh. Aktingnya luar biasa dan ceritanya kuat.",positive,id
"Keren, alurnya menarik dan visualnya sangat indah.",positive,id
"Buruk dan membosankan. Tidak ada yang bisa dinikmati dari film ini.",negative,id
"Mengecewakan. Ceritanya lemah dan endingnya sangat jelek.",negative,id
